"RB","Overall","Player","Team","Bye","Yahoo","Fantrax","FFC","Sleeper","AVG"
"101","382","Ito Smith","","101","","","101.0"
"102","389","Jonathan Williams","WAS","9","","102","","119","102.0"
"103","390","Matt Breida","NYG","10","","103","","","103.0"
"104","418","Antonio Williams","NYG","10","","104","","","104.0"
"105","424","Matt Jones","","105","","","105.0"
"106","425","Ty Montgomery","NE","14","","106","","","106.0"
"107","430","Jermar Jefferson","DET","9","","107","","","107.0"
"108","432","Jaylen Samuels","ARI","12","","108","","","108.0"
"109","437","Ray Rice","","109","","","109.0"
"110","438","Kylin Hill","GB","13 ","","110","","","110.0"
"111","446","Adrian Peterson","SEA","9 ","","111","","","111.0"
"112","457","DeeJay Dallas","SEA","9","","112","","","112.0"
"113","458","Corey Clement","DAL","7","","113","","","113.0"
"114","464","Gerrid Doaks","MIA","14","","114","","","114.0"
"115","471","Khalil Herbert","CHI","10","","115","","","115.0"
"116","473","Jeremy McNichols","","116","","85","116.0"
"117","475","Kyle Juszczyk","SF","6","","117","","","117.0"
"118","486","Peyton Barber","LV","8","","118","","","118.0"
"119","490","Rex Burkhead","HOU","10","","119","","","119.0"
"120","279","Xavier Jones","","123","","71","123.0"
""
""
