"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Johnny Stanton","RB","CLE","3","2","1.32","2","1.50","65.85%","1.00","7.48","7","0.53","1","8.70","5.22","3.50","7.70","4.56","3.10","4","2.00","9.20","8.49","0.70","8.20","7.84","0.40","8.26","0.41","0.50","3.27","5","3","5","0"
"Johnny Mundt","TE","LAR","7","1","0.69","1","7.00","68.70%","1.00","7.28","9","0.02","0","1.90","1.52","0.40","1.40","1.18","0.20","2","2.00","1.90","1.52","0.40","1.40","1.18","0.20","0.00","0.00","0.00","0.00","1","0","0","0"
"Miles Boykin","WR","BAL","6","1","0.71","1","6.00","71.10%","1.00","7.25","6","0.00","0","1.60","1.45","0.10","1.10","1.10","0.00","0","0.00","1.60","1.45","0.10","1.10","1.10","0.00","0.00","0.00","0.00","0.00","1","0","0","0"
"Keke Coutee","WR","IND","5","1","0.79","1","5.00","78.90%","1.00","7.16","5","0.00","0","1.50","1.52","0.00","1.00","1.13","-0.10","0","0.00","1.50","1.52","0.00","1.00","1.13","-0.10","0.00","0.00","0.00","0.00","1","0","0","0"
"Andy Isabella","WR","ARI","6","1","0.71","1","6.00","70.50%","1.00","7.14","13","0.00","0","2.30","1.44","0.90","1.80","1.08","0.70","7","7.00","2.30","1.44","0.90","1.80","1.08","0.70","0.00","0.00","0.00","0.00","1","0","0","0"
"Devine Ozigbo","RB","NE","4","1","0.80","1","4.00","80.10%","1.00","6.98","7","0.00","0","1.70","1.50","0.20","1.20","1.10","0.10","3","3.00","1.40","2.04","-0.60","0.90","1.64","-0.70","4.91","0.01","-0.30","0.55","2","1","-3","0"
"Eric Tomlinson","TE","BAL","3","1","0.75","1","3.00","74.70%","1.00","6.95","7","0.00","0","1.70","1.46","0.20","1.20","1.09","0.10","4","4.00","1.70","1.46","0.20","1.20","1.09","0.10","0.00","0.00","0.00","0.00","1","0","0","0"
"Brycen Hopkins","TE","LAR","3","1","0.79","1","3.00","79.20%","1.00","6.65","9","0.00","0","1.90","1.47","0.40","1.40","1.08","0.30","6","6.00","1.90","1.47","0.40","1.40","1.08","0.30","0.00","0.00","0.00","0.00","1","0","0","0"
"Tyrie Cleveland","WR","DEN","5","1","0.74","0","5.00","73.80%","0.00","6.59","0","0.02","0","0.00","1.54","-1.50","0.00","1.17","-1.20","0","","0.00","1.54","-1.50","0.00","1.17","-1.20","0.00","0.00","0.00","0.00","1","0","0","0"
"Marvin Hall","WR","ATL","5","1","0.71","1","5.00","71.40%","1.00","6.59","10","0.02","0","2.00","1.50","0.50","1.50","1.14","0.40","5","5.00","2.00","1.50","0.50","1.50","1.14","0.40","0.00","0.00","0.00","0.00","1","0","0","0"
"Ryan Nall","RB","CHI","4","1","0.75","1","4.00","74.70%","1.00","6.43","4","0.01","0","1.40","1.48","-0.10","0.90","1.11","-0.20","0","0.00","1.80","2.01","-0.20","1.30","1.63","-0.30","4.72","0.01","0.40","0.53","2","1","4","0"
"Easop Winston Jr.","WR","NO","-4","1","0.91","1","-4.00","90.60%","1.00","6.42","5","0.00","0","1.50","1.57","-0.10","1.00","1.11","-0.10","9","9.00","1.50","1.57","-0.10","1.00","1.11","-0.10","0.00","0.00","0.00","0.00","1","0","0","0"
"Khari Blasingame","RB","TEN","-3","1","0.93","1","-3.00","93.00%","1.00","6.39","-1","0.02","0","0.90","1.68","-0.80","0.40","1.21","-0.80","2","2.00","1.50","3.13","-1.60","1.00","2.66","-1.70","14.00","0.01","0.60","1.45","4","3","6","0"
"Vyncint Smith","WR","NYJ","18","1","0.34","0","18.00","33.60%","0.00","6.36","0","0.33","0","0.00","2.93","-2.90","0.00","2.77","-2.80","0","","0.00","2.93","-2.90","0.00","2.77","-2.80","0.00","0.00","0.00","0.00","1","0","0","0"
"Gary Brightwell","RB","NYG","1","1","0.81","1","1.00","80.70%","1.00","6.27","6","0.00","0","1.60","1.45","0.10","1.10","1.05","0.10","5","5.00","2.00","1.91","0.10","1.50","1.50","0.00","4.38","0.00","0.40","0.46","2","1","4","0"
"Darius Bradwell","RB","LAC","1","1","0.81","0","1.00","80.70%","0.00","5.85","0","0.00","0","0.00","1.41","-1.40","0.00","1.01","-1.00","0","","0.00","1.41","-1.40","0.00","1.01","-1.00","0.00","0.00","0.00","0.00","1","0","0","0"
"Deon Yelder","TE","NYG","-2","1","0.89","1","-2.00","88.80%","1.00","5.82","0","0.00","0","1.00","1.47","-0.50","0.50","1.03","-0.50","2","2.00","1.00","1.47","-0.50","0.50","1.03","-0.50","0.00","0.00","0.00","0.00","1","0","0","0"
"Nick Bellore","RB","SEA","0","1","0.77","1","0.00","76.80%","1.00","5.02","4","0.00","0","1.40","1.27","0.10","0.90","0.89","0.00","4","4.00","1.40","1.27","0.10","0.90","0.89","0.00","0.00","0.00","0.00","0.00","1","0","0","0"
"Greg Dortch","WR","ARI","-4","1","0.91","1","-4.00","90.60%","1.00","4.93","10","0.06","0","2.00","1.76","0.20","1.50","1.30","0.20","0","0.00","4.40","2.26","2.10","3.90","1.81","2.10","5.06","0.00","2.40","0.51","2","1","24","0"
"Anthony McFarland Jr.","RB","PIT","0","1","0.75","1","0.00","75.30%","1.00","4.93","11","0.01","0","2.10","1.30","0.80","1.60","0.92","0.70","11","11.00","2.40","2.72","-0.30","1.90","2.35","-0.40","13.70","0.01","0.30","1.42","4","3","3","0"
"Stephen Sullivan","TE","CAR","-2","1","0.86","0","-2.00","86.40%","0.00","4.80","0","0.06","0","0.00","1.72","-1.70","0.00","1.29","-1.30","0","","0.00","1.72","-1.70","0.00","1.29","-1.30","0.00","0.00","0.00","0.00","1","0","0","0"
"Codey McElroy","TE","TB","11","1","0.33","0","11.00","33.30%","0.00","4.00","0","0.33","0","0.00","2.71","-2.70","0.00","2.55","-2.50","0","","0.00","2.71","-2.70","0.00","2.55","-2.50","0.00","0.00","0.00","0.00","1","0","0","0"
"Alex Armah","RB","WAS","0","1","0.57","1","0.00","57.30%","1.00","0.72","1","0.53","1","7.10","3.84","3.30","6.60","3.55","3.00","1","1.00","9.20","6.40","2.80","8.70","6.11","2.60","21.32","0.07","2.10","2.56","6","5","21","0"
"Deon Jackson","RB","IND","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","9.10","7.98","1.10","9.10","7.98","1.10","54.11","0.43","9.10","7.98","13","13","31","1"
"Patrick Taylor","RB","GB","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","3.60","7.00","-3.40","3.60","7.00","-3.40","53.06","0.28","3.60","7.00","12","12","36","0"
"La'Mical Perine","RB","NYJ","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","3.10","3.71","-0.60","3.10","3.71","-0.60","35.15","0.03","3.10","3.71","8","8","31","0"
"Trayveon Williams","RB","CIN","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","1.30","3.22","-1.90","1.30","3.22","-1.90","26.79","0.09","1.30","3.22","6","6","13","0"
"Buddy Howell","RB","LAR","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","1.10","2.80","-1.70","1.10","2.80","-1.70","25.66","0.04","1.10","2.80","5","5","11","0"
"Damarea Crockett","RB","DEN","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.70","2.21","-1.50","0.70","2.21","-1.50","13.10","0.15","0.70","2.21","3","3","7","0"
"Mekhi Sargent","RB","JAX","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.90","2.21","-1.30","0.90","2.21","-1.30","20.10","0.03","0.90","2.21","4","4","9","0"
"Trenton Cannon","RB","SF","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.40","1.52","-1.10","0.40","1.52","-1.10","13.94","0.02","0.40","1.52","3","3","4","0"
"Jake Funk","RB","LAR","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.50","1.24","-0.70","0.50","1.24","-0.70","9.14","0.05","0.50","1.24","2","2","5","0"
"Raheem Mostert","RB","SF","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","2.00","1.06","0.90","2.00","1.06","0.90","10.24","0.01","2.00","1.06","2","2","20","0"
"Jacques Patrick","RB","SF","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","1.20","1.03","0.20","1.20","1.03","0.20","9.45","0.02","1.20","1.03","2","2","12","0"
"John Kelly","RB","CLE","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","1.30","1.01","0.30","1.30","1.01","0.30","9.54","0.01","1.30","1.01","2","2","13","0"
"Nathan Cottrell","RB","JAX","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.30","0.58","-0.30","0.30","0.58","-0.30","5.30","0.01","0.30","0.58","1","1","3","0"
"Maurice Ffrench","WR","LAC","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.30","0.46","-0.20","0.30","0.46","-0.20","4.62","0.00","0.30","0.46","1","1","3","0"
"Nate McCrary","RB","BAL","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","-0.10","0.44","-0.50","-0.10","0.44","-0.50","4.36","0.00","-0.10","0.44","1","1","-1","0"
"JaQuan Hardy","RB","DAL","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.30","0.44","-0.10","0.30","0.44","-0.10","4.36","0.00","0.30","0.44","1","1","3","0"
