"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Benny Snell Jr.","RB","PIT","-4","4","3.36","2","-1.00","84.00%","0.50","24.68","13","0.03","0","3.30","5.99","-2.70","2.30","4.31","-2.00","20","10.00","10.90","18.73","-7.80","9.90","17.05","-7.10","114.05","0.22","7.60","12.74","28","24","76","0"
"Andy Janovich","RB","CLE","9","4","3.05","3","2.30","76.13%","0.75","23.98","9","0.04","0","3.90","5.66","-1.80","2.40","4.13","-1.70","4","1.33","9.90","9.12","0.80","8.40","7.60","0.80","4.42","0.50","6.00","3.47","6","2","0","1"
"Phillip Lindsay","RB","MIA","-11","5","4.21","4","-2.20","84.24%","0.80","23.87","45","0.47","1","14.50","9.42","5.10","12.50","7.31","5.20","53","13.25","41.40","49.21","-7.80","39.40","47.10","-7.70","340.30","0.96","26.90","39.79","82","77","209","1"
"Reggie Gilliam","TE","BUF","18","4","2.72","3","4.50","67.88%","0.75","23.76","23","0.37","0","5.30","7.30","-2.00","3.80","5.94","-2.10","22","7.33","5.60","8.99","-3.40","4.10","7.63","-3.50","11.82","0.08","0.30","1.69","7","3","3","0"
"Antony Auclair","TE","HOU","22","4","2.49","4","5.50","62.25%","1.00","23.07","40","0.37","1","14.00","7.01","7.00","12.00","5.76","6.20","18","4.50","14.00","7.01","7.00","12.00","5.76","6.20","0.00","0.00","0.00","0.00","4","0","0","0"
"J.J. Taylor","RB","NE","-2","4","3.34","4","-0.50","83.48%","1.00","23.00","8","0.05","0","4.80","5.94","-1.10","2.80","4.27","-1.50","10","2.50","20.50","24.57","-4.10","18.50","22.90","-4.40","71.62","1.91","15.70","18.63","23","19","37","2"
"Duke Johnson","RB","MIA","-3","4","3.13","3","-0.75","78.15%","0.75","22.38","36","0.00","0","6.60","5.38","1.20","5.10","3.82","1.30","41","13.67","39.90","36.20","3.70","38.40","34.63","3.80","192.59","1.93","33.30","30.82","50","46","213","2"
"Jaylen Samuels","RB","HOU","-4","4","3.11","3","-1.00","77.70%","0.75","22.16","14","0.01","0","4.40","5.38","-1.00","2.90","3.82","-0.90","17","5.67","5.30","7.90","-2.60","3.80","6.34","-2.50","23.77","0.02","0.90","2.52","9","5","9","0"
"Dazz Newsome","WR","CHI","16","3","2.18","1","5.30","72.50%","0.33","21.56","10","0.01","0","2.00","4.40","-2.40","1.50","3.31","-1.80","5","5.00","2.00","4.40","-2.40","1.50","3.31","-1.80","0.00","0.00","0.00","0.00","3","0","0","0"
"Andre Roberts","WR","LAC","29","2","1.11","1","14.50","55.50%","0.50","21.15","35","0.01","0","4.50","3.31","1.20","4.00","2.76","1.20","16","16.00","6.40","4.97","1.40","5.90","4.41","1.50","13.30","0.05","1.90","1.65","5","3","19","0"
"Diontae Spencer","WR","DEN","9","4","2.69","1","2.30","67.20%","0.25","21.07","-3","0.45","0","0.70","7.50","-6.80","0.20","6.16","-6.00","0","0.00","0.70","7.50","-6.80","0.20","6.16","-6.00","0.00","0.00","0.00","0.00","4","0","0","0"
"Ihmir Smith-Marsette","WR","MIN","40","3","1.49","2","13.30","49.60%","0.67","20.64","13","0.42","1","9.30","6.08","3.20","8.30","5.34","3.00","2","1.00","9.30","6.08","3.20","8.30","5.34","3.00","0.00","0.00","0.00","0.00","3","0","0","0"
"Davion Davis","WR","HOU","14","3","2.12","1","4.70","70.60%","0.33","20.35","17","0.01","0","2.70","4.19","-1.50","2.20","3.13","-0.90","13","13.00","2.70","4.19","-1.50","2.20","3.13","-0.90","0.00","0.00","0.00","0.00","3","0","0","0"
"Adrian Peterson","RB","SEA","-6","4","3.26","4","-1.50","81.38%","1.00","19.66","8","0.49","0","4.80","8.14","-3.30","2.80","6.52","-3.70","14","3.50","26.60","39.12","-12.50","24.60","37.49","-12.90","149.37","2.67","21.80","30.97","42","38","98","2"
"Tyrell Williams","WR","DET","13","3","2.17","2","4.30","72.40%","0.67","19.46","14","0.04","0","3.40","4.37","-1.00","2.40","3.28","-0.90","8","4.00","3.40","4.37","-1.00","2.40","3.28","-0.90","0.00","0.00","0.00","0.00","3","0","0","0"
"Kevin Rader","TE","PIT","8","3","2.36","2","2.70","78.60%","0.67","19.37","8","0.00","0","2.80","4.31","-1.50","1.80","3.13","-1.30","4","2.00","2.80","4.31","-1.50","1.80","3.13","-1.30","0.00","0.00","0.00","0.00","3","0","0","0"
"Hunter Long","TE","MIA","10","3","2.30","1","3.30","76.70%","0.33","19.29","8","0.00","0","1.80","4.25","-2.40","1.30","3.10","-1.80","4","4.00","1.80","4.25","-2.40","1.30","3.10","-1.80","0.00","0.00","0.00","0.00","3","0","0","0"
"Gabe Nabers","RB","LAC","9","3","2.30","3","3.00","76.50%","1.00","18.68","17","0.02","0","4.70","4.29","0.40","3.20","3.14","0.10","8","2.67","5.50","5.38","0.10","4.00","4.24","-0.20","9.87","0.02","0.80","1.09","6","3","8","0"
"Eno Benjamin","RB","ARI","2","3","2.38","2","0.70","79.30%","0.67","18.57","17","0.01","0","3.70","4.27","-0.60","2.70","3.08","-0.40","18","9.00","18.40","17.59","0.80","17.40","16.40","1.00","120.42","0.21","14.70","13.32","30","27","87","1"
"Dominique Dafney","TE","GB","11","3","2.09","1","3.70","69.70%","0.33","18.50","8","0.01","0","1.80","3.98","-2.20","1.30","2.93","-1.60","4","4.00","1.80","3.98","-2.20","1.30","2.93","-1.60","0.00","0.00","0.00","0.00","3","0","0","0"
"Wayne Gallman","RB","MIN","5","3","2.30","1","1.70","76.80%","0.33","18.07","21","0.01","0","3.10","4.16","-1.10","2.60","3.01","-0.40","20","20.00","13.50","17.95","-4.50","13.00","16.80","-3.80","129.60","0.14","10.40","13.79","31","28","104","0"
"Stanley Morgan","WR","CIN","30","2","1.07","1","15.00","53.70%","0.50","17.40","3","0.12","0","1.30","3.53","-2.20","0.80","2.99","-2.20","12","12.00","1.30","3.53","-2.20","0.80","2.99","-2.20","0.00","0.00","0.00","0.00","2","0","0","0"
"Corey Clement","RB","DAL","1","3","2.45","2","0.30","81.80%","0.67","16.85","7","0.09","0","2.70","4.66","-2.00","1.70","3.43","-1.70","6","3.00","10.90","18.06","-7.20","9.90","16.83","-6.90","125.38","0.14","8.20","13.40","29","26","82","0"
"Austin Walter","RB","NYJ","-9","3","2.55","2","-3.00","85.00%","0.67","16.81","9","0.00","0","2.90","4.23","-1.30","1.90","2.96","-1.10","13","6.50","19.00","21.44","-2.40","18.00","20.16","-2.20","110.69","1.02","16.10","17.21","29","26","101","1"
"Scottie Phillips","RB","HOU","2","3","2.35","2","0.70","78.30%","0.67","16.66","9","0.01","0","2.90","4.05","-1.20","1.90","2.88","-1.00","7","3.50","4.20","6.99","-2.80","3.20","5.81","-2.60","26.86","0.04","1.30","2.94","9","6","13","0"
"Derek Watt","RB","PIT","-1","3","2.32","3","-0.30","77.40%","1.00","15.91","15","0.01","0","4.50","3.97","0.50","3.00","2.81","0.20","16","5.33","4.60","4.37","0.20","3.10","3.21","-0.10","3.35","0.01","0.10","0.41","4","1","1","0"
"Trenton Irwin","WR","CIN","23","1","0.47","1","23.00","47.10%","1.00","15.47","25","0.02","0","3.50","2.14","1.40","3.00","1.91","1.10","2","2.00","3.50","2.14","1.40","3.00","1.91","1.10","0.00","0.00","0.00","0.00","1","0","0","0"
"Patrick Laird","RB","MIA","-3","3","2.40","3","-1.00","79.90%","1.00","15.22","17","0.24","0","4.70","5.35","-0.60","3.20","4.15","-0.90","20","6.67","5.10","5.89","-0.80","3.60","4.69","-1.10","5.08","0.01","0.40","0.54","4","1","4","0"
"Cethan Carter","TE","MIA","8","2","1.51","2","4.00","75.45%","1.00","14.38","16","0.01","0","3.60","3.00","0.60","2.60","2.25","0.40","8","4.00","3.60","3.00","0.60","2.60","2.25","0.40","0.00","0.00","0.00","0.00","2","0","0","0"
"Tommylee Lewis","WR","MIA","6","2","1.43","1","3.00","71.70%","0.50","13.84","7","0.07","0","1.70","3.21","-1.50","1.20","2.49","-1.30","11","11.00","1.70","3.21","-1.50","1.20","2.49","-1.30","0.00","0.00","0.00","0.00","2","0","0","0"
